Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
01/02,All,1,Arsenal,26,9,3,79,36,87
01/02,All,2,Liverpool,24,8,6,67,30,80
01/02,All,3,Manchester United,24,5,9,87,45,77
01/02,All,4,Newcastle United,21,8,9,74,52,71
01/02,All,5,Leeds United,18,12,8,53,37,66
01/02,All,6,Chelsea,17,13,8,66,38,64
01/02,All,7,West Ham United,15,8,15,48,57,53
01/02,All,8,Aston Villa,12,14,12,46,47,50
01/02,All,9,Tottenham Hotspur,14,8,16,49,53,50
01/02,All,10,Blackburn Rovers,12,10,16,55,51,46
01/02,All,11,Southampton,12,9,17,46,54,45
01/02,All,12,Middlesbrough,12,9,17,35,47,45
01/02,All,13,Fulham,10,14,14,36,44,44
01/02,All,14,Charlton Athletic,10,14,14,38,49,44
01/02,All,15,Everton,11,10,17,45,57,43
01/02,All,16,Bolton Wanderers,9,13,16,44,62,40
01/02,All,17,Sunderland,10,10,18,29,51,40
01/02,All,18,Ipswich Town,9,9,20,41,64,36
01/02,All,19,Derby County,8,6,24,33,63,30
01/02,All,20,Leicester City,5,13,20,30,64,28
