Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
12/13,Home,1,Manchester United,16,0,3,45,19,48
12/13,Home,2,Manchester City,14,3,2,41,15,45
12/13,Home,3,Everton,12,6,1,33,17,42
12/13,Home,4,Chelsea,12,5,2,41,16,41
12/13,Home,5,Arsenal,11,5,3,47,23,38
12/13,Home,6,Tottenham Hotspur,11,5,3,29,18,38
12/13,Home,7,Liverpool,9,6,4,33,16,33
12/13,Home,8,West Ham United,9,6,4,34,22,33
12/13,Home,9,West Bromwich Albion,9,4,6,32,25,31
12/13,Home,10,Norwich City,8,7,4,25,20,31
12/13,Home,11,Stoke City,7,7,5,21,22,28
12/13,Home,12,Newcastle United,9,1,9,24,31,28
12/13,Home,13,Swansea City,6,8,5,28,26,26
12/13,Home,14,Southampton,6,7,6,26,24,25
12/13,Home,15,Fulham,7,3,9,28,30,24
12/13,Home,16,Sunderland,5,8,6,20,19,23
12/13,Home,17,Aston Villa,5,5,9,23,28,20
12/13,Home,18,Reading,4,8,7,23,33,20
12/13,Home,19,Wigan Athletic,4,6,9,26,39,18
12/13,Home,20,Queens Park Rangers,2,8,9,13,28,14
