Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
16/17,Away,1,Chelsea,13,3,3,30,16,42
16/17,Away,2,Manchester City,12,2,5,43,22,38
16/17,Away,3,Manchester United,10,5,4,28,17,35
16/17,Away,4,Liverpool,10,5,4,33,24,35
16/17,Away,5,Tottenham Hotspur,9,6,4,39,17,33
16/17,Away,6,Arsenal,9,3,7,38,28,30
16/17,Away,7,Southampton,6,4,9,24,27,22
16/17,Away,8,Crystal Palace,6,3,10,26,38,21
16/17,Away,9,West Ham United,5,5,9,28,33,20
16/17,Away,10,Everton,4,6,9,20,28,18
16/17,Away,11,Stoke City,4,5,10,17,32,17
16/17,Away,12,West Bromwich Albion,3,7,9,16,29,16
16/17,Away,13,Bournemouth,3,6,10,20,38,15
16/17,Away,14,Swansea City,4,2,13,18,36,14
16/17,Away,15,Watford,3,3,13,15,39,12
16/17,Away,16,Middlesbrough,1,7,11,10,30,10
16/17,Away,17,Leicester City,2,4,13,17,38,10
16/17,Away,18,Sunderland,3,1,15,13,35,10
16/17,Away,19,Burnley,1,4,14,13,35,7
16/17,Away,20,Hull City,1,3,15,9,45,6
