Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
04/05,Home,1,Chelsea,14,5,0,35,6,47
04/05,Home,2,Arsenal,13,5,1,54,19,44
04/05,Home,3,Manchester United,12,6,1,31,12,42
04/05,Home,4,Liverpool,12,4,3,31,15,40
04/05,Home,5,Everton,12,2,5,24,15,38
04/05,Home,6,Middlesbrough,9,6,4,29,19,33
04/05,Home,7,Tottenham Hotspur,9,5,5,36,22,32
04/05,Home,8,Bolton Wanderers,9,5,5,25,18,32
04/05,Home,9,Manchester City,8,6,5,24,14,30
04/05,Home,10,Aston Villa,8,6,5,26,17,30
04/05,Home,11,Birmingham City,8,6,5,24,15,30
04/05,Home,12,Portsmouth,8,4,7,30,26,28
04/05,Home,13,Fulham,8,4,7,29,26,28
04/05,Home,14,Newcastle United,7,7,5,25,25,28
04/05,Home,15,Charlton Athletic,8,4,7,29,29,28
04/05,Home,16,Norwich City,7,5,7,29,32,26
04/05,Home,17,Southampton,5,9,5,30,30,24
04/05,Home,18,Crystal Palace,6,5,8,21,19,23
04/05,Home,19,Blackburn Rovers,5,8,6,21,22,23
04/05,Home,20,West Bromwich Albion,5,8,6,17,24,23
