Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
92/93,Home,1,Manchester United,14,5,2,39,14,47
92/93,Home,2,Norwich City,13,6,2,31,19,45
92/93,Home,3,Leeds United,12,8,1,40,17,44
92/93,Home,4,Aston Villa,13,5,3,36,16,44
92/93,Home,5,Liverpool,13,4,4,41,18,43
92/93,Home,6,Blackburn Rovers,13,4,4,38,18,43
92/93,Home,7,Tottenham Hotspur,11,5,5,40,25,38
92/93,Home,8,Queens Park Rangers,11,5,5,41,32,38
92/93,Home,9,Sheffield United,10,6,5,33,19,36
92/93,Home,10,Oldham Athletic,10,6,5,43,30,36
92/93,Home,11,Southampton,10,6,5,30,21,36
92/93,Home,12,Sheffield Wednesday,9,8,4,34,26,35
92/93,Home,13,Chelsea,9,7,5,29,22,34
92/93,Home,14,Ipswich Town,8,9,4,29,22,33
92/93,Home,15,Wimbledon,9,4,8,32,23,31
92/93,Home,16,Arsenal,8,6,7,25,20,30
92/93,Home,17,Middlesbrough,8,5,8,33,27,29
92/93,Home,18,Manchester City,7,8,6,30,25,29
92/93,Home,19,Crystal Palace,6,9,6,27,25,27
92/93,Home,20,Everton,7,6,8,26,27,27
92/93,Home,21,Coventry City,7,4,10,29,28,25
92/93,Home,22,Nottingham Forest,6,4,11,17,25,22
