Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
95/96,All,1,Manchester United,25,7,6,73,35,82
95/96,All,2,Newcastle United,24,6,8,66,37,78
95/96,All,3,Liverpool,20,11,7,70,34,71
95/96,All,4,Aston Villa,18,9,11,52,35,63
95/96,All,5,Arsenal,17,12,9,49,32,63
95/96,All,6,Everton,17,10,11,64,44,61
95/96,All,7,Blackburn Rovers,18,7,13,61,47,61
95/96,All,8,Tottenham Hotspur,16,13,9,50,38,61
95/96,All,9,Nottingham Forest,15,13,10,50,54,58
95/96,All,10,West Ham United,14,9,15,43,52,51
95/96,All,11,Chelsea,12,14,12,46,44,50
95/96,All,12,Middlesbrough,11,10,17,35,50,43
95/96,All,13,Leeds United,12,7,19,40,57,43
95/96,All,14,Wimbledon,10,11,17,55,70,41
95/96,All,15,Sheffield Wednesday,10,10,18,48,61,40
95/96,All,16,Coventry City,8,14,16,42,60,38
95/96,All,17,Southampton,9,11,18,34,52,38
95/96,All,18,Manchester City,9,11,18,33,58,38
95/96,All,19,Queens Park Rangers,9,6,23,38,57,33
95/96,All,20,Bolton Wanderers,8,5,25,39,71,29
