Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
15/16,Away,1,Leicester City,11,6,2,33,18,39
15/16,Away,2,Tottenham Hotspur,9,7,3,34,20,34
15/16,Away,3,Arsenal,8,7,4,34,25,31
15/16,Away,4,West Ham United,7,7,5,31,25,28
15/16,Away,5,Manchester City,7,7,5,24,20,28
15/16,Away,6,Liverpool,8,4,7,30,28,28
15/16,Away,7,Southampton,7,6,6,20,19,27
15/16,Away,8,Chelsea,7,5,7,27,23,26
15/16,Away,9,Manchester United,7,4,8,22,26,25
15/16,Away,10,Everton,5,9,5,24,25,24
15/16,Away,11,Stoke City,6,5,8,19,31,23
15/16,Away,12,Bournemouth,6,4,9,22,33,22
15/16,Away,13,Crystal Palace,5,6,8,20,28,21
15/16,Away,14,Watford,6,3,10,20,31,21
15/16,Away,15,West Bromwich Albion,4,8,7,14,22,20
15/16,Away,16,Swansea City,4,5,10,22,32,17
15/16,Away,17,Sunderland,3,6,10,25,42,15
15/16,Away,18,Norwich City,3,2,14,13,37,11
15/16,Away,19,Newcastle United,2,3,14,12,41,9
15/16,Away,20,Aston Villa,1,3,15,13,41,6
