Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
22/23,All,1,Manchester City,28,5,5,94,33,89
22/23,All,2,Arsenal,26,6,6,88,43,84
22/23,All,3,Manchester United,23,6,9,58,43,75
22/23,All,4,Newcastle United,19,14,5,68,33,71
22/23,All,5,Liverpool,19,10,9,75,47,67
22/23,All,6,Brighton & Hove Albion,18,8,12,72,53,62
22/23,All,7,Aston Villa,18,7,13,51,46,61
22/23,All,8,Tottenham Hotspur,18,6,14,70,63,60
22/23,All,9,Brentford,15,14,9,58,46,59
22/23,All,10,Fulham,15,7,16,55,53,52
22/23,All,11,Crystal Palace,11,12,15,40,49,45
22/23,All,12,Chelsea,11,11,16,38,47,44
22/23,All,13,Wolverhampton Wanderers,11,8,19,31,58,41
22/23,All,14,West Ham United,11,7,20,42,55,40
22/23,All,15,Bournemouth,11,6,21,37,71,39
22/23,All,16,Nottingham Forest,9,11,18,38,68,38
22/23,All,17,Everton,8,12,18,34,57,36
22/23,All,18,Leicester City,9,7,22,51,68,34
22/23,All,19,Leeds United,7,10,21,48,78,31
22/23,All,20,Southampton,6,7,25,36,73,25
