Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
05/06,All,1,Chelsea,29,4,5,72,22,91
05/06,All,2,Manchester United,25,8,5,72,34,83
05/06,All,3,Liverpool,25,7,6,57,25,82
05/06,All,4,Arsenal,20,7,11,68,31,67
05/06,All,5,Tottenham Hotspur,18,11,9,53,38,65
05/06,All,6,Blackburn Rovers,19,6,13,51,42,63
05/06,All,7,Newcastle United,17,7,14,47,42,58
05/06,All,8,Bolton Wanderers,15,11,12,49,41,56
05/06,All,9,West Ham United,16,7,15,52,55,55
05/06,All,10,Wigan Athletic,15,6,17,45,52,51
05/06,All,11,Everton,14,8,16,34,49,50
05/06,All,12,Fulham,14,6,18,48,58,48
05/06,All,13,Charlton Athletic,13,8,17,41,55,47
05/06,All,14,Middlesbrough,12,9,17,48,58,45
05/06,All,15,Manchester City,13,4,21,43,48,43
05/06,All,16,Aston Villa,10,12,16,42,55,42
05/06,All,17,Portsmouth,10,8,20,37,62,38
05/06,All,18,Birmingham City,8,10,20,28,50,34
05/06,All,19,West Bromwich Albion,7,9,22,31,58,30
05/06,All,20,Sunderland,3,6,29,26,69,15
