Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
23/24,Away,1,Manchester City,14,2,3,45,18,44
23/24,Away,2,Arsenal,13,3,3,43,13,42
23/24,Away,3,Liverpool,9,7,3,37,24,34
23/24,Away,4,Aston Villa,8,4,7,28,33,28
23/24,Away,5,Tottenham Hotspur,7,6,6,36,34,27
23/24,Away,6,Manchester United,8,3,8,26,30,27
23/24,Away,7,Chelsea,7,5,7,33,37,26
23/24,Away,8,West Ham United,7,2,10,29,46,23
23/24,Away,9,Crystal Palace,5,6,8,20,32,21
23/24,Away,10,Bournemouth,6,3,10,27,39,21
23/24,Away,11,Newcastle United,6,2,11,36,40,20
23/24,Away,12,Everton,5,5,9,18,33,20
23/24,Away,13,Wolverhampton Wanderers,5,4,10,24,35,19
23/24,Away,14,Brighton & Hove Albion,4,6,9,25,35,18
23/24,Away,15,Fulham,4,6,9,24,37,18
23/24,Away,16,Brentford,5,2,12,27,31,17
23/24,Away,17,Nottingham Forest,4,4,11,22,37,16
23/24,Away,18,Burnley,3,5,11,22,35,14
23/24,Away,19,Luton Town,2,4,13,24,48,10
23/24,Away,20,Sheffield United,1,3,15,16,47,6
