Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
02/03,Away,1,Manchester United,9,6,4,32,22,33
02/03,Away,2,Arsenal,8,7,4,38,22,31
02/03,Away,3,Liverpool,9,2,8,31,25,29
02/03,Away,4,Chelsea,7,5,7,27,23,26
02/03,Away,5,Blackburn Rovers,7,5,7,28,28,26
02/03,Away,6,Leeds United,7,2,10,33,31,23
02/03,Away,7,Newcastle United,6,4,9,27,31,22
02/03,Away,8,Charlton Athletic,6,4,9,19,26,22
02/03,Away,9,Manchester City,6,4,9,19,28,22
02/03,Away,10,Everton,6,3,10,20,30,21
02/03,Away,11,West Ham United,5,5,9,21,35,20
02/03,Away,12,Birmingham City,5,4,10,16,26,19
02/03,Away,13,Tottenham Hotspur,5,4,10,21,33,19
02/03,Away,14,Southampton,4,5,10,18,30,17
02/03,Away,15,Bolton Wanderers,3,6,10,14,27,15
02/03,Away,16,Middlesbrough,3,3,13,12,23,12
02/03,Away,17,Fulham,2,6,11,15,32,12
02/03,Away,18,West Bromwich Albion,3,3,13,12,31,12
02/03,Away,19,Aston Villa,1,7,11,17,33,10
02/03,Away,20,Sunderland,1,5,13,10,34,8
