Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
17/18,All,1,Manchester City,32,4,2,106,27,100
17/18,All,2,Manchester United,25,6,7,68,28,81
17/18,All,3,Tottenham Hotspur,23,8,7,74,36,77
17/18,All,4,Liverpool,21,12,5,84,38,75
17/18,All,5,Chelsea,21,7,10,62,38,70
17/18,All,6,Arsenal,19,6,13,74,51,63
17/18,All,7,Burnley,14,12,12,36,39,54
17/18,All,8,Everton,13,10,15,44,58,49
17/18,All,9,Leicester City,12,11,15,56,60,47
17/18,All,10,Newcastle United,12,8,18,39,47,44
17/18,All,11,Crystal Palace,11,11,16,45,55,44
17/18,All,12,Bournemouth,11,11,16,45,61,44
17/18,All,13,West Ham United,10,12,16,48,68,42
17/18,All,14,Watford,11,8,19,44,64,41
17/18,All,15,Brighton & Hove Albion,9,13,16,34,54,40
17/18,All,16,Huddersfield Town,9,10,19,28,58,37
17/18,All,17,Southampton,7,15,16,37,56,36
17/18,All,18,Swansea City,8,9,21,28,56,33
17/18,All,19,Stoke City,7,12,19,35,68,33
17/18,All,20,West Bromwich Albion,6,13,19,31,56,31
