Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
06/07,Home,1,Manchester United,15,2,2,46,12,47
06/07,Home,2,Liverpool,14,4,1,39,7,46
06/07,Home,3,Chelsea,12,7,0,37,11,43
06/07,Home,4,Arsenal,12,6,1,43,16,42
06/07,Home,5,Tottenham Hotspur,12,3,4,34,22,39
06/07,Home,6,Portsmouth,11,5,3,28,15,38
06/07,Home,7,Everton,11,4,4,33,17,37
06/07,Home,8,Reading,11,2,6,29,20,35
06/07,Home,9,Middlesbrough,10,3,6,31,24,33
06/07,Home,10,Bolton Wanderers,9,5,5,26,20,32
06/07,Home,11,Blackburn Rovers,9,3,7,31,25,30
06/07,Home,12,Aston Villa,7,8,4,20,14,29
06/07,Home,13,Newcastle United,7,7,5,23,20,28
06/07,Home,14,Fulham,7,7,5,18,18,28
06/07,Home,15,Sheffield United,7,6,6,24,21,27
06/07,Home,16,Charlton Athletic,7,5,7,19,20,26
06/07,Home,17,West Ham United,8,2,9,24,26,26
06/07,Home,18,Manchester City,5,6,8,10,16,21
06/07,Home,19,Wigan Athletic,5,4,10,18,30,19
06/07,Home,20,Watford,3,9,7,19,25,18
