Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
94/95,All,1,Blackburn Rovers,27,8,7,80,39,89
94/95,All,2,Manchester United,26,10,6,77,28,88
94/95,All,3,Nottingham Forest,22,11,9,72,43,77
94/95,All,4,Liverpool,21,11,10,65,37,74
94/95,All,5,Leeds United,20,13,9,59,38,73
94/95,All,6,Newcastle United,20,12,10,67,47,72
94/95,All,7,Tottenham Hotspur,16,14,12,66,58,62
94/95,All,8,Queens Park Rangers,17,9,16,61,59,60
94/95,All,9,Wimbledon,15,11,16,48,65,56
94/95,All,10,Southampton,12,18,12,61,63,54
94/95,All,11,Chelsea,13,15,14,50,55,54
94/95,All,12,Arsenal,13,12,17,52,49,51
94/95,All,13,Sheffield Wednesday,13,12,17,49,57,51
94/95,All,14,West Ham United,13,11,18,44,48,50
94/95,All,15,Everton,11,17,14,44,51,50
94/95,All,16,Coventry City,12,14,16,44,62,50
94/95,All,17,Manchester City,12,13,17,53,64,49
94/95,All,18,Aston Villa,11,15,16,51,56,48
94/95,All,19,Crystal Palace,11,12,19,34,49,45
94/95,All,20,Norwich City,10,13,19,37,54,43
94/95,All,21,Leicester City,6,11,25,45,80,29
94/95,All,22,Ipswich Town,7,6,29,36,93,27
