Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
18/19,All,1,Manchester City,32,2,4,95,23,98
18/19,All,2,Liverpool,30,7,1,89,22,97
18/19,All,3,Chelsea,21,9,8,63,39,72
18/19,All,4,Tottenham Hotspur,23,2,13,67,39,71
18/19,All,5,Arsenal,21,7,10,73,51,70
18/19,All,6,Manchester United,19,9,10,65,54,66
18/19,All,7,Wolverhampton Wanderers,16,9,13,47,46,57
18/19,All,8,Everton,15,9,14,54,46,54
18/19,All,9,Leicester City,15,7,16,51,48,52
18/19,All,10,West Ham United,15,7,16,52,55,52
18/19,All,11,Watford,14,8,16,52,59,50
18/19,All,12,Crystal Palace,14,7,17,51,53,49
18/19,All,13,Newcastle United,12,9,17,42,48,45
18/19,All,14,Bournemouth,13,6,19,56,70,45
18/19,All,15,Burnley,11,7,20,45,68,40
18/19,All,16,Southampton,9,12,17,45,65,39
18/19,All,17,Brighton & Hove Albion,9,9,20,35,60,36
18/19,All,18,Cardiff City,10,4,24,34,69,34
18/19,All,19,Fulham,7,5,26,34,81,26
18/19,All,20,Huddersfield Town,3,7,28,22,76,16
