Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
99/00,Home,1,Manchester United,15,4,0,59,16,49
99/00,Home,2,Arsenal,14,3,2,42,17,45
99/00,Home,3,Chelsea,12,5,2,35,12,41
99/00,Home,4,Leeds United,12,2,5,29,18,38
99/00,Home,5,West Ham United,11,5,3,32,23,38
99/00,Home,6,Coventry City,12,1,6,38,22,37
99/00,Home,7,Liverpool,11,4,4,28,13,37
99/00,Home,8,Sunderland,10,6,3,28,17,36
99/00,Home,9,Newcastle United,10,5,4,42,20,35
99/00,Home,10,Tottenham Hotspur,10,3,6,40,26,33
99/00,Home,11,Leicester City,10,3,6,31,24,33
99/00,Home,12,Aston Villa,8,8,3,23,12,32
99/00,Home,13,Everton,7,9,3,36,21,30
99/00,Home,14,Middlesbrough,8,5,6,23,26,29
99/00,Home,15,Southampton,8,4,7,26,22,28
99/00,Home,16,Bradford City,6,8,5,26,29,26
99/00,Home,17,Wimbledon,6,7,6,30,28,25
99/00,Home,18,Sheffield Wednesday,6,3,10,21,23,21
99/00,Home,19,Derby County,6,3,10,22,25,21
99/00,Home,20,Watford,5,4,10,24,31,19
