Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
21/22,All,1,Manchester City,29,6,3,99,26,93
21/22,All,2,Liverpool,28,8,2,94,26,92
21/22,All,3,Chelsea,21,11,6,76,33,74
21/22,All,4,Tottenham Hotspur,22,5,11,69,40,71
21/22,All,5,Arsenal,22,3,13,61,48,69
21/22,All,6,Manchester United,16,10,12,57,57,58
21/22,All,7,West Ham United,16,8,14,60,51,56
21/22,All,8,Leicester City,14,10,14,62,59,52
21/22,All,9,Brighton & Hove Albion,12,15,11,42,44,51
21/22,All,10,Wolverhampton Wanderers,15,6,17,38,43,51
21/22,All,11,Newcastle United,13,10,15,44,62,49
21/22,All,12,Crystal Palace,11,15,12,50,46,48
21/22,All,13,Brentford,13,7,18,48,56,46
21/22,All,14,Aston Villa,13,6,19,52,54,45
21/22,All,15,Southampton,9,13,16,43,67,40
21/22,All,16,Everton,11,6,21,43,66,39
21/22,All,17,Leeds United,9,11,18,42,79,38
21/22,All,18,Burnley,7,14,17,34,53,35
21/22,All,19,Watford,6,5,27,34,77,23
21/22,All,20,Norwich City,5,7,26,23,84,22
